Time,"Time Code","Country Name","Country Code","Agricultural irrigated land (% of total agricultural land) [AG.LND.IRIG.AG.ZS]","Agricultural machinery, tractors [AG.AGR.TRAC.NO]","Agricultural machinery, tractors per 100 sq. km of arable land [AG.LND.TRAC.ZS]","Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN]","Agricultural raw materials imports (% of merchandise imports) [TM.VAL.AGRI.ZS.UN]","Agriculture value added per worker (constant 2010 US$) [EA.PRD.AGRI.KD]","Agricultural land (% of land area) [AG.LND.AGRI.ZS]","Depth of the food deficit (kilocalories per person per day) [SN.ITK.DFCT]","Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN]","Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN]","Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD]","Fertilizer consumption (% of fertilizer production) [AG.CON.FERT.PT.ZS]","Fertilizer consumption (kilograms per hectare of arable land) [AG.CON.FERT.ZS]","Droughts, floods, extreme temperatures (% of population, average 1990-2009) [EN.CLC.MDAT.ZS]","Population growth (annual %) [SP.POP.GROW]","Agriculture, value added (annual % growth) [NV.AGR.TOTL.KD.ZG]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Rural poverty gap at national poverty lines (%) [SI.POV.RUGP]","Urban poverty gap at national poverty lines (%) [SI.POV.URGP]","Employment in agriculture (% of total employment) [SL.AGR.EMPL.ZS]","Account, income, poorest 40% (% ages 15+) [ts] [WP_time_10.8]","Gross domestic income (constant LCU) [NY.GDY.TOTL.KN]","Income share held by lowest 10% [SI.DST.FRST.10]","Income share held by lowest 20% [SI.DST.FRST.20]","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) [SI.SPR.PC40]","GDP (current US$) [NY.GDP.MKTP.CD]","Population, total [SP.POP.TOTL]","Arable land (hectares) [AG.LND.ARBL.HA]","Arable land (hectares per person) [AG.LND.ARBL.HA.PC]","Agricultural land (sq. km) [AG.LND.AGRI.K2]","Land area (sq. km) [AG.LND.TOTL.K2]","Rural land area (sq. km) [AG.LND.TOTL.RU.K2]","GINI index (World Bank estimate) [SI.POV.GINI]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Arable land (% of land area) [AG.LND.ARBL.ZS]","Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Employment in agriculture, male (% of male employment) [SL.AGR.EMPL.MA.ZS]","Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS]","Improved water source, rural (% of rural population with access) [SH.H2O.SAFE.RU.ZS]","People using basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS]","Rural poverty headcount ratio at national poverty lines (% of rural population) [SI.POV.RUHC]"
2010,"YR2010","Afghanistan","AFG","5.00131891321551","NA","NA","10.7670455667972","NA","687.403102096975","58.0675795729559","158","40.0470709660653","13.6918476055713","116.67","275.819331226086","4.2549724111382","NA","2.81261695888044","-6.37380492600464","75.311","NA","NA","NA","NA","NA","NA","NA","NA","15936800636.2487","28803167","7793000","0.270560525514434","379100","652860","NA","NA","27.0915400061362","11.9367092485372","NA","32.4","NA","NA","40.5","41.8536862973718","NA","NA"
2010,"YR2010","Albania","ALB","17.0232248397569","NA","NA","2.39093820685545","0.999252301721728","3487.92591615817","43.8430656934307","NA","4.47195801759197","17.9299994404967","118.32","NA","97.3226837060703","NA","-0.49646196338738","7.64974046742321","47.837","NA","NA","73.25","NA","646836885707.843","NA","NA","NA","11926953258.916","2913021","626000","0.214897180624513","12013","27400","26686.71094","NA","20.6581888515256","22.8467153284672","NA","100","NA","63.2390037485134","94.7","82.2576777666962","NA","NA"
2010,"YR2010","Algeria","DZA","2.38125392758737","NA","NA","0.0157878631761179","1.60733735402263","4298.74635202501","17.3713335628574","40","0.560728903031235","16.3002029011608","124.84","457.433489827856","19.4814716075713","NA","1.82135815863613","4.90000000357603","32.474","NA","NA","NA","NA","6425938749909.67","NA","NA","NA","161207268655.392","36117637","7502000","0.207710155567486","413740","2381740","2285675.75","NA","9.02943836001008","3.14979804680612","NA","98.1334915161133","NA","99.8478347914606","82.5","86.901306276518","NA","NA"
2010,"YR2010","American Samoa","ASM","NA","NA","NA","NA","NA","NA","24.5","NA","NA","NA","114.49","NA","NA","NA","-1.05486210207446","NA","12.406","NA","NA","3.01999998092651","NA","569852886.405959","NA","NA","NA","576000000","55637","3000","0.0539209518845373","49","200","87.64226532","NA","NA","15","NA","NA","NA","NA","100","NA","NA","NA"
2010,"YR2010","Andorra","AND","NA","NA","NA","1.68683032329121","0.382151881569455","7761.58940397351","42.7659574468085","NA","0.850345282246566","22.0383414552007","NA","NA","NA","NA","-0.0153927216411839","NA","12.183","NA","NA","NA","NA","NA","NA","NA","NA","3346516556.29139","84449","2500","0.0296036661180121","201","470","NA","NA","0.504226988190247","5.31914893617021","NA","100","NA","NA","100","100","NA","NA"
2010,"YR2010","Angola","AGO","NA","NA","NA","0.000379226345312959","0.648022234274181","NA","46.8356461057191","149","0.054445159884038","15.231436375393","168.81","NA","8.43","NA","3.57009863798221","NA","59.903","NA","NA","NA","NA","NA","NA","NA","NA","82470913120.7314","23369131","4100000","0.175445120317054","583900","1246700","1248198.625","NA","NA","3.28868212079891","NA","6.23472261428833","NA","42.9925150346511","30.6","23.5878424657611","NA","NA"
2010,"YR2010","Antigua and Barbuda","ATG","NA","NA","NA","0","1.16803572248874","2344.73611111111","20.4545454545455","NA","50.654320061777","21.3462996239405","86.67","NA","3","NA","1.14747171215348","1.69092507570576","73.761","NA","NA","NA","NA","2773606958.56466","NA","NA","NA","1147942222.22222","94661","4000","0.0422560505382364","90","440","167.8600616","NA","1.90286703924006","9.09090909090909","NA","99.9527282714844","NA","NA","97.9","NA","NA","NA"
2010,"YR2010","Argentina","ARG","NA","NA","NA","1.22550362792108","1.08403353667721","21504.4961644838","53.8902835176801","10","51.1392365347716","2.62017860740445","112.7","343.588393790997","39.1808009267792","NA","1.0350371425283","39.5239778173383","9.03400000000001","NA","NA","2.95000004768372","NA","701335701295.071","1.5","4.4","NA","423627422092.49","41223889","37981000","0.92133471444191","1474810","2736690","2690269.5","44.5","8.5022016974351","13.8784443981598","NA","NA","4.65000009536743","89.503243212831","93.7","97.6758128960512","0.56126","NA"
2010,"YR2010","Armenia","ARM","8.94524495677233","NA","NA","1.121489973213","0.910834669306679","10636.2810843215","60.9413417632596","43","16.7160495160498","17.9528658687316","111.57","NA","24.2028985507246","NA","-0.391023921304488","-15.9057766270175","36.42","4.6","8.4","38.5999984741211","NA","1683004890405.32","3.8","8.9","2.96","9260284937.79782","2877311","448500","0.155874703846751","17350","28470","NA","31.1","19.1530515742164","15.7534246575342","NA","99.8","31.3999996185303","67.4011084886","96.5","95.004698564301","0.2414","36"
2010,"YR2010","Aruba","ABW","NA","NA","NA","0.158747992385788","0.826171059668165","1232.15394165115","11.1111111111111","NA","82.3287444529954","31.8318503381721","NA","NA","NA","NA","0.212680144365572","NA","56.941","NA","NA","0.639999985694885","NA","NA","NA","NA","NA","2467703910.61453","101669","2000","0.0196716796663683","20","180","9.008321762","NA","0.498384330897067","11.1111111111111","NA","99.9432754516602","0.949999988079071","NA","97.4","NA","NA","NA"
